Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,lead_time,arrival_year,arrival_month,arrival_date
INN00001,2,0,1,2,224,2017,10,2
INN00002,2,0,2,3,5,2018,11,6
INN00003,1,0,2,1,1,2018,2,28
INN00004,2,0,0,2,211,2018,5,20
INN00005,2,0,1,1,48,2018,4,11
INN00006,2,0,0,2,346,2018,9,13
INN00007,2,0,1,3,34,2017,10,15
INN00008,2,0,1,3,83,2018,12,26
INN00009,3,0,0,4,121,2018,7,6
INN00010,2,0,0,5,44,2018,10,18
INN00011,1,0,1,0,0,2018,9,11
INN00012,1,0,2,1,35,2018,4,30
INN00013,2,0,2,1,30,2018,11,26
INN00014,1,0,2,0,95,2018,11,20
INN00015,2,0,0,2,47,2017,10,20
INN00016,2,0,0,2,256,2018,6,15
INN00017,1,0,1,0,0,2017,10,5
INN00018,2,0,1,3,1,2017,8,10
INN00019,2,0,2,2,99,2017,10,30
INN00020,2,0,1,0,12,2017,10,4
INN00021,2,0,2,2,99,2017,10,30
INN00022,1,0,0,1,122,2018,11,25
INN00023,2,0,2,4,2,2018,3,20
INN00024,2,0,0,3,37,2018,10,13
INN00025,2,0,2,1,130,2018,5,22
INN00026,2,0,0,2,99,2018,4,28
INN00027,2,0,1,1,60,2017,9,21
INN00028,1,0,0,2,2,2018,5,19
INN00029,1,0,1,2,37,2017,11,6
INN00030,2,0,0,2,56,2017,9,17
INN00031,2,0,1,1,3,2017,9,19
INN00032,2,0,2,2,107,2018,11,13
INN00033,0,2,0,3,56,2018,12,7
INN00034,2,0,0,1,2,2018,1,9
INN00035,2,0,0,2,72,2018,10,7
INN00036,2,0,0,1,23,2018,4,27
INN00037,1,0,2,1,34,2018,6,19
INN00038,2,0,0,1,289,2017,10,17
INN00039,2,0,2,3,247,2018,11,19
INN00040,2,0,2,1,186,2018,7,30
INN00041,2,0,0,4,64,2018,11,1
INN00042,2,0,0,2,35,2018,6,21
INN00043,3,0,2,1,96,2018,4,10
INN00044,2,0,1,1,41,2018,6,27
INN00045,2,0,0,4,55,2017,11,18
INN00046,2,0,0,3,146,2017,12,29
INN00047,1,0,0,2,32,2017,11,20
INN00048,2,0,0,1,55,2018,4,6
INN00049,2,0,0,4,57,2018,11,1
INN00050,1,0,1,3,7,2018,12,29
INN00051,1,0,2,5,124,2018,5,30
INN00052,2,0,2,2,169,2018,4,22
INN00053,1,0,1,2,6,2018,5,16
INN00054,2,0,0,4,51,2017,11,11
INN00055,2,0,1,0,13,2018,6,13
INN00056,2,0,1,3,100,2018,5,19
INN00057,2,0,0,1,139,2018,7,28
INN00058,2,0,1,2,117,2018,12,26
INN00059,2,0,1,4,39,2018,4,20
INN00060,2,0,0,3,86,2018,4,6
INN00061,2,2,0,1,2,2018,9,2
INN00062,1,0,0,3,19,2018,5,3
INN00063,1,0,0,2,192,2018,6,24
INN00064,1,0,0,1,2,2017,9,10
INN00065,2,0,2,1,86,2018,12,18
INN00066,2,0,0,3,30,2018,10,5
INN00067,2,0,0,2,179,2018,6,3
INN00068,2,0,0,2,26,2018,4,15
INN00069,2,0,0,1,55,2018,4,6
INN00070,2,0,1,2,74,2018,4,25
INN00071,2,0,0,3,143,2018,8,25
INN00072,2,0,1,0,34,2018,11,14
INN00073,2,0,1,1,30,2018,8,29
INN00074,2,0,0,2,177,2018,6,3
INN00075,2,0,2,3,34,2017,10,25
INN00076,2,0,1,4,18,2018,3,9
INN00077,3,0,1,1,267,2018,12,31
INN00078,2,0,1,2,64,2018,6,27
INN00079,3,0,2,5,155,2018,6,28
INN00080,2,0,0,5,46,2018,3,29
INN00081,2,2,0,2,83,2018,4,1
INN00082,2,0,0,5,128,2018,10,11
INN00083,2,0,2,0,20,2018,12,25
INN00084,2,0,1,4,40,2018,3,14
INN00085,2,0,1,2,46,2018,3,4
INN00086,1,0,1,0,1,2018,10,17
INN00087,2,0,2,3,196,2018,9,4
INN00088,1,0,0,2,188,2018,6,15
INN00089,2,0,0,1,17,2018,12,10
INN00090,2,0,0,3,146,2018,8,9
INN00091,2,0,1,3,110,2018,5,5
INN00092,2,0,1,2,68,2018,3,18
INN00093,2,0,2,1,73,2018,4,9
INN00094,2,0,0,1,92,2018,5,19
INN00095,2,0,2,5,171,2018,8,30
INN00096,2,1,0,2,134,2018,8,4
INN00097,2,0,0,2,320,2018,8,18
INN00098,2,0,0,4,118,2018,4,13
INN00099,2,0,0,3,30,2018,11,17
INN00100,2,2,1,3,30,2018,12,22